Index,Depth_Value,Point_X,Point_Y
0,10000000.0,0.0,0.0
1,10000000.0,0.0,0.0
2,10000000.0,0.0,0.0
3,10000000.0,0.0,0.0
4,5000000.0,0.0,0.0
5,5000000.0,0.0,0.0
6,5000000.0,0.0,0.0
7,5000000.0,0.0,0.0
8,3333333.25,0.0,0.0
9,3333333.25,0.0,0.0
10,3333333.25,0.0,0.0
11,3333333.25,0.0,0.0
12,3333333.25,0.0,0.0
13,3333333.25,0.0,0.0
14,3333333.25,0.0,0.0
15,2500000.0,0.0,0.0
16,2500000.0,0.0,0.0
17,2500000.0,0.0,0.0
18,2500000.0,0.0,0.0
19,2500000.0,0.0,0.0
20,2000000.0,0.0,0.0
21,2000000.0,0.0,0.0
22,2000000.0,0.0,0.0
23,2000000.0,0.0,0.0
24,2000000.0,0.0,0.0
25,1666667.0,0.0,0.0
26,1666667.0,0.0,0.0
27,1666667.0,0.0,0.0
28,1666667.0,0.0,0.0
29,1428572.0,0.0,0.0
30,1428572.0,0.0,0.0
31,1428572.0,0.0,0.0
32,1428572.0,0.0,0.0
33,1428572.0,0.0,0.0
34,1428572.0,0.0,0.0
35,1428572.0,0.0,0.0
36,1428572.0,0.0,0.0
37,1428572.0,0.0,0.0
38,1250000.5,0.0,0.0
39,1250000.5,0.0,0.0
40,1250000.5,0.0,0.0
41,1250000.5,0.0,0.0
42,1250000.5,0.0,0.0
43,1250000.5,0.0,0.0
44,1250000.5,0.0,0.0
45,1250000.5,0.0,0.0
46,1250000.5,0.0,0.0
47,1250000.5,0.0,0.0
48,1111111.625,0.0,0.0
49,1111111.625,0.0,0.0
50,1111111.625,0.0,0.0
51,1111111.625,0.0,0.0
52,1111111.625,0.0,0.0
53,1000000.4375,0.0,0.0
54,1000000.4375,0.0,0.0
55,1000000.4375,0.0,0.0
56,1000000.4375,0.0,0.0
57,1000000.4375,0.0,0.0
58,1000000.4375,0.0,0.0
59,0.661983847618103,0.0,0.0
60,0.661983847618103,0.0,0.0
61,0.661983847618103,0.0,0.0
62,0.661983847618103,0.0,0.0
63,0.661983847618103,0.0,0.0
64,0.661983847618103,0.0,0.0
65,0.661983847618103,0.0,0.0
66,0.661983847618103,0.0,0.0
67,0.661983847618103,0.0,0.0
68,0.661983847618103,0.0,0.0
69,0.661983847618103,0.0,0.0
70,0.661983847618103,0.0,0.0
71,0.661983847618103,0.0,0.0
72,0.661983847618103,0.0,0.0
73,0.661983847618103,0.0,0.0
74,0.661983847618103,0.0,0.0
75,0.661983847618103,0.0,0.0
76,0.661983847618103,0.0,0.0
77,0.661983847618103,0.0,0.0
78,0.661983847618103,0.0,0.0
79,0.661983847618103,0.0,0.0
80,0.661983847618103,0.0,0.0
81,0.661983847618103,0.0,0.0
82,0.661983847618103,0.0,0.0
83,0.661983847618103,0.0,0.0
84,0.661983847618103,0.0,0.0
85,0.661983847618103,0.0,0.0
86,0.661983847618103,0.0,0.0
87,0.661983847618103,0.0,0.0
88,1.8894141912460327,0.0,0.0
89,1.8894141912460327,0.0,0.0
90,1.8894141912460327,0.0,0.0
91,1.8894141912460327,0.0,0.0
92,1.8894141912460327,0.0,0.0
93,1.9377905130386353,0.0,0.0
94,1.9377905130386353,0.0,0.0
95,1.9377905130386353,0.0,0.0
96,1.9377905130386353,0.0,0.0
97,1.9377905130386353,0.0,0.0
98,1.9377905130386353,0.0,0.0
99,1.9423853158950806,0.0,0.0
100,1.9423853158950806,0.0,0.0
101,1.9423853158950806,0.0,0.0
102,1.9423853158950806,0.0,0.0
103,1.9423853158950806,0.0,0.0
104,1.9423853158950806,0.0,0.0
105,2.180959701538086,0.0,0.0
106,2.180959701538086,0.0,0.0
107,2.180959701538086,0.0,0.0
108,2.180959701538086,0.0,0.0
109,2.180959701538086,0.0,0.0
110,2.180959701538086,0.0,0.0
111,2.180959701538086,0.0,0.0
112,2.180959701538086,0.0,0.0
113,2.180959701538086,0.0,0.0
114,2.5050301551818848,0.0,0.0
115,2.5050301551818848,0.0,0.0
116,2.5050301551818848,0.0,0.0
117,2.5050301551818848,0.0,0.0
118,2.5050301551818848,0.0,0.0
119,2.5551156997680664,0.0,0.0
120,2.5551156997680664,0.0,0.0
121,2.5551156997680664,0.0,0.0
122,2.5551156997680664,0.0,0.0
123,2.5551156997680664,0.0,0.0
124,2.5551156997680664,0.0,0.0
125,2.5551156997680664,0.0,0.0
126,2.5551156997680664,0.0,0.0
127,2.5551156997680664,0.0,0.0
128,3.029674530029297,0.0,0.0
129,3.029674530029297,0.0,0.0
130,3.029674530029297,0.0,0.0
131,3.029674530029297,0.0,0.0
132,3.029674530029297,0.0,0.0
133,3.029674530029297,0.0,0.0
134,3.029674530029297,0.0,0.0
135,3.029674530029297,0.0,0.0
136,3.029674530029297,0.0,0.0
137,3.029674530029297,0.0,0.0
138,3.029674530029297,0.0,0.0
139,3.029674530029297,0.0,0.0
140,3.029674530029297,0.0,0.0
141,3.029674530029297,0.0,0.0
142,3.029674530029297,0.0,0.0
143,3.029674530029297,0.0,0.0
144,2.5140724182128906,0.0,0.0
145,2.5140724182128906,0.0,0.0
146,2.5140724182128906,0.0,0.0
147,2.5140724182128906,0.0,0.0
148,2.5140724182128906,0.0,0.0
149,2.5140724182128906,0.0,0.0
150,2.5140724182128906,0.0,0.0
151,2.669990062713623,0.0,0.0
152,2.669990062713623,0.0,0.0
153,2.669990062713623,0.0,0.0
154,2.669990062713623,0.0,0.0
155,2.669990062713623,0.0,0.0
156,2.4438438415527344,0.0,0.0
157,2.4438438415527344,0.0,0.0
158,2.4438438415527344,0.0,0.0
159,2.4438438415527344,0.0,0.0
160,2.4438438415527344,0.0,0.0
161,2.2052693367004395,0.0,0.0
162,2.2052693367004395,0.0,0.0
163,2.2052693367004395,0.0,0.0
164,2.2052693367004395,0.0,0.0
165,2.2052693367004395,0.0,0.0
166,2.2052693367004395,0.0,0.0
167,2.7953133583068848,0.0,0.0
168,2.7953133583068848,0.0,0.0
169,2.7953133583068848,0.0,0.0
170,2.7953133583068848,0.0,0.0
171,2.7953133583068848,0.0,0.0
172,2.7953133583068848,0.0,0.0
173,2.7953133583068848,0.0,0.0
174,3.428447961807251,0.0,0.0
175,3.428447961807251,0.0,0.0
176,3.428447961807251,0.0,0.0
177,3.428447961807251,0.0,0.0
178,3.428447961807251,0.0,0.0
179,3.428447961807251,0.0,0.0
180,3.7235653400421143,0.0,0.0
181,3.7235653400421143,0.0,0.0
182,3.7235653400421143,0.0,0.0
183,3.7235653400421143,0.0,0.0
184,3.7235653400421143,0.0,0.0
185,3.7235653400421143,0.0,0.0
186,3.7235653400421143,0.0,0.0
187,3.814323663711548,0.0,0.0
188,3.814323663711548,0.0,0.0
189,3.814323663711548,0.0,0.0
190,3.814323663711548,0.0,0.0
191,3.814323663711548,0.0,0.0
192,4.184402942657471,0.0,0.0
193,4.184402942657471,0.0,0.0
194,4.184402942657471,0.0,0.0
