frame,timestamp,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,fps,confidence,tracking_status
132,1768440378.3351622,,,,,,,9.80,,lost
133,1768440378.497758,,,,,,,9.81,,lost
134,1768440378.6567013,,,,,,,9.85,,lost
135,1768440378.8010716,,,,,,,9.84,,lost
136,1768440378.9553323,,,,,,,9.80,,lost
137,1768440379.1164896,,,,,,,9.80,,lost
138,1768440379.2877665,,,,,,,9.73,,lost
139,1768440379.4730678,,,,,,,9.66,,lost
140,1768440379.6178448,,,,,,,9.68,,lost
141,1768440379.7627056,,,,,,,9.75,,lost
142,1768440379.944321,,,,,,,9.65,,lost
143,1768440380.1075642,,,,,,,9.65,,lost
144,1768440380.2763937,,,,,,,9.67,,lost
145,1768440380.430414,,,,,,,9.67,,lost
146,1768440380.5724876,,,,,,,9.65,,lost
147,1768440380.7240388,,,,,,,9.65,,lost
148,1768440380.8556912,,,,,,,9.69,,lost
149,1768440381.0202043,,,,,,,9.68,,lost
150,1768440381.1842835,,,,,,,9.65,,lost
151,1768440381.3172185,,,,,,,9.68,,lost
152,1768440381.4439974,,,,,,,9.67,,lost
153,1768440381.5839674,,,,,,,9.72,,lost
154,1768440381.7200212,,,,,,,9.76,,lost
155,1768440381.845691,,,,,,,9.84,,lost
156,1768440381.9879377,,,,,,,9.88,,lost
157,1768440382.145243,,,,,,,9.88,,lost
158,1768440382.3171072,,,,,,,9.87,,lost
159,1768440382.4765775,,,,,,,9.87,,lost
160,1768440382.6217964,,,,,,,9.94,,lost
161,1768440382.7816458,,,,,,,9.93,,lost
162,1768440382.9372592,,,,,,,9.90,,lost
163,1768440383.1075509,,,,,,,9.83,,lost
164,1768440383.2998753,,,,,,,9.77,,lost
165,1768440383.4674933,,,,,,,9.72,,lost
166,1768440383.6284237,,,,,,,9.68,,lost
167,1768440383.8435228,,,,,,,9.52,,lost
168,1768440384.0112405,,,,,,,9.51,,lost
169,1768440384.1969914,,,,,,,9.50,,lost
170,1768440384.4072764,,,,,,,9.35,,lost
171,1768440384.542394,,,,,,,9.35,,lost
172,1768440384.7075834,,,,,,,9.41,,lost
173,1768440384.876315,,,,,,,9.42,,lost
174,1768440385.0234554,,,,,,,9.44,,lost
175,1768440385.2012017,,,,,,,9.40,,lost
176,1768440385.3706238,,,,,,,9.34,,lost
177,1768440385.536766,,,,,,,9.30,,lost
178,1768440385.7255814,,,,,,,9.19,,lost
186,1768440386.9793608,,,,,,,8.91,,lost
195,1768440388.4094698,,,,,,,9.08,,lost
198,1768440388.877738,,,,,,,9.31,,lost
235,1768440394.9857783,,,,,,,9.15,,lost
236,1768440395.1124997,,,,,,,9.23,,lost
242,1768440395.94716,,,,,,,9.52,,lost
243,1768440396.111986,,,,,,,9.52,,lost
244,1768440396.3027446,,,,,,,9.46,,lost
287,1768440403.0373392,,,,,,,9.49,,lost
288,1768440403.183621,,,,,,,9.56,,lost
290,1768440403.5010817,,,,,,,9.56,,lost
295,1768440404.348062,,,,,,,9.30,,lost
296,1768440404.528228,,,,,,,9.24,,lost
299,1768440405.0210354,,,,,,,9.18,,lost
365,1768440415.279852,,,,,,,10.06,,lost
371,1768440416.2552588,,,,,,,9.90,,lost
372,1768440416.4029858,,,,,,,9.92,,lost
373,1768440416.5708227,,,,,,,9.86,,lost
374,1768440416.7687685,,,,,,,9.78,,lost
388,1768440419.0995939,,,,,,,9.45,,lost
405,1768440421.947883,,,,,,,9.23,,lost
412,1768440423.1993353,,,,,,,9.00,,lost
414,1768440423.5449822,,,,,,,9.01,,lost
420,1768440424.5533924,,,,,,,9.04,,lost
438,1768440427.3764503,,,,,,,9.47,,lost
439,1768440427.5520296,,,,,,,9.50,,lost
440,1768440427.719028,,,,,,,9.47,,lost
441,1768440427.8796206,,,,,,,9.47,,lost
442,1768440428.017698,,,,,,,9.63,,lost
443,1768440428.1911678,,,,,,,9.59,,lost
444,1768440428.3849878,,,,,,,9.54,,lost
445,1768440428.5966647,,,,,,,9.37,,lost
446,1768440428.7691464,,,,,,,9.42,,lost
447,1768440428.9483297,,,,,,,9.44,,lost
448,1768440429.117644,,,,,,,9.41,,lost
449,1768440429.277066,,,,,,,9.39,,lost
450,1768440429.4716825,,,,,,,9.34,,lost
451,1768440429.6441247,,,,,,,9.30,,lost
453,1768440429.9588623,,,,,,,9.25,,lost
454,1768440430.0972512,,,,,,,9.27,,lost
455,1768440430.2508578,,,,,,,9.27,,lost
456,1768440430.4257305,,,,,,,9.23,,lost
457,1768440430.6020272,,,,,,,9.25,,lost
458,1768440430.7821064,,,,,,,9.18,,lost
459,1768440430.98181,,,,,,,9.16,,lost
460,1768440431.181739,,,,,,,9.09,,lost
461,1768440431.3469863,,,,,,,9.16,,lost
462,1768440431.5215123,,,,,,,9.17,,lost
463,1768440431.7011855,,,,,,,9.17,,lost
464,1768440431.8772767,,,,,,,9.08,,lost
465,1768440432.0516803,,,,,,,9.02,,lost
466,1768440432.2415788,,,,,,,8.94,,lost
467,1768440432.4145677,,,,,,,8.89,,lost
468,1768440432.561857,,,,,,,8.87,,lost
469,1768440432.7085443,,,,,,,8.95,,lost
470,1768440432.859511,,,,,,,8.98,,lost
471,1768440432.9998434,,,,,,,9.01,,lost
472,1768440433.1773708,,,,,,,8.93,,lost
474,1768440433.5279615,,,,,,,9.02,,lost
476,1768440433.882269,,,,,,,9.13,,lost
481,1768440434.6688197,,,,,,,9.31,,lost
482,1768440434.830168,,,,,,,9.31,,lost
496,1768440436.8987784,,,,,,,9.91,,lost
498,1768440437.2151017,,,,,,,9.91,,lost
499,1768440437.3694258,,,,,,,9.87,,lost
500,1768440437.5143592,,,,,,,9.91,,lost
501,1768440437.647917,,,,,,,9.92,,lost
502,1768440437.7788084,,,,,,,10.02,,lost
503,1768440437.9702249,,,,,,,9.94,,lost
504,1768440438.2045982,,,,,,,9.70,,lost
505,1768440438.3825712,,,,,,,9.70,,lost
507,1768440438.6930895,,,,,,,9.77,,lost
508,1768440438.8651779,,,,,,,9.78,,lost
509,1768440439.009242,,,,,,,9.79,,lost
510,1768440439.161407,,,,,,,9.76,,lost
514,1768440439.768764,,,,,,,9.72,,lost
515,1768440439.9402986,,,,,,,9.64,,lost
516,1768440440.088316,,,,,,,9.61,,lost
517,1768440440.2289705,,,,,,,9.60,,lost
518,1768440440.4049873,,,,,,,9.51,,lost
519,1768440440.543628,,,,,,,9.50,,lost
520,1768440440.7126923,,,,,,,9.42,,lost
521,1768440440.8758523,,,,,,,9.42,,lost
522,1768440441.0290318,,,,,,,9.47,,lost
523,1768440441.162686,,,,,,,9.57,,lost
524,1768440441.323447,,,,,,,9.52,,lost
525,1768440441.5060606,,,,,,,9.42,,lost
526,1768440441.6733851,,,,,,,9.42,,lost
527,1768440441.8344195,,,,,,,9.42,,lost
528,1768440442.017332,,,,,,,9.37,,lost
529,1768440442.1748993,,,,,,,9.39,,lost
530,1768440442.3610017,,,,,,,9.28,,lost
531,1768440442.5408492,,,,,,,9.18,,lost
532,1768440442.6876113,,,,,,,9.15,,lost
533,1768440442.8867455,,,,,,,9.15,,lost
534,1768440443.064722,,,,,,,9.33,,lost
535,1768440443.2228646,,,,,,,9.38,,lost
536,1768440443.3750587,,,,,,,9.38,,lost
537,1768440443.5174224,,,,,,,9.40,,lost
538,1768440443.6864965,,,,,,,9.38,,lost
539,1768440443.852476,,,,,,,9.33,,lost
540,1768440444.0133886,,,,,,,9.33,,lost
541,1768440444.1708295,,,,,,,9.35,,lost
542,1768440444.3487132,,,,,,,9.26,,lost
543,1768440444.5283778,,,,,,,9.27,,lost
544,1768440444.718929,,,,,,,9.19,,lost
545,1768440444.8961127,,,,,,,9.22,,lost
546,1768440445.063033,,,,,,,9.21,,lost
549,1768440445.5857692,,,,,,,9.13,,lost
550,1768440445.756379,,,,,,,9.16,,lost
551,1768440445.9257157,,,,,,,9.17,,lost
552,1768440446.081112,,,,,,,9.19,,lost
553,1768440446.250897,,,,,,,9.12,,lost
554,1768440446.4029272,,,,,,,9.18,,lost
555,1768440446.5594714,,,,,,,9.24,,lost
558,1768440447.1050596,,,,,,,9.14,,lost
559,1768440447.3083656,,,,,,,9.06,,lost
560,1768440447.4717247,,,,,,,9.11,,lost
561,1768440447.6536386,,,,,,,9.12,,lost
562,1768440447.834096,,,,,,,9.06,,lost
564,1768440448.191076,,,,,,,9.15,,lost
567,1768440448.6880598,,,,,,,9.05,,lost
568,1768440448.8470201,,,,,,,9.09,,lost
569,1768440449.0023253,,,,,,,9.12,,lost
570,1768440449.1493042,,,,,,,9.13,,lost
571,1768440449.2903068,,,,,,,9.16,,lost
572,1768440449.4283247,,,,,,,9.26,,lost
573,1768440449.585512,,,,,,,9.27,,lost
574,1768440449.729295,,,,,,,9.38,,lost
575,1768440449.893186,,,,,,,9.35,,lost
576,1768440450.0723464,,,,,,,9.32,,lost
577,1768440450.2707949,,,,,,,9.27,,lost
578,1768440450.4361498,,,,,,,9.32,,lost
579,1768440450.5919337,,,,,,,9.35,,lost
580,1768440450.7550716,,,,,,,9.33,,lost
581,1768440450.9225967,,,,,,,9.32,,lost
582,1768440451.114856,,,,,,,9.25,,lost
583,1768440451.279501,,,,,,,9.28,,lost
584,1768440451.4290626,,,,,,,9.29,,lost
585,1768440451.6194754,,,,,,,9.24,,lost
586,1768440451.785265,,,,,,,9.21,,lost
587,1768440451.9508612,,,,,,,9.28,,lost
588,1768440452.1077657,,,,,,,9.35,,lost
593,1768440453.0198708,,,,,,,9.35,,lost
595,1768440453.3494804,,,,,,,9.33,,lost
596,1768440453.5320013,,,,,,,9.37,,lost
597,1768440453.7003746,,,,,,,9.32,,lost
598,1768440453.8653169,,,,,,,9.29,,lost
599,1768440454.0183773,,,,,,,9.33,,lost
608,1768440455.4565737,,,,,,,9.33,,lost
609,1768440455.6022217,,,,,,,9.32,,lost
610,1768440455.796819,,,,,,,9.22,,lost
639,1768440460.115151,,,,,,,10.02,,lost
640,1768440460.2728763,,,,,,,10.19,,lost
