# Frame_Number,Timestamp_Unix,Timestamp_Human_Readable
110,1744787354.489956,2025-04-16 03:09:14.489
111,1744787354.829956,2025-04-16 03:09:14.829
112,1744787355.106956,2025-04-16 03:09:15.106
113,1744787355.445956,2025-04-16 03:09:15.445
114,1744787355.698956,2025-04-16 03:09:15.698
115,1744787355.924956,2025-04-16 03:09:15.924
116,1744787356.234956,2025-04-16 03:09:16.234
117,1744787356.533956,2025-04-16 03:09:16.533
118,1744787356.863956,2025-04-16 03:09:16.863
119,1744787357.134956,2025-04-16 03:09:17.134
120,1744787357.375956,2025-04-16 03:09:17.375
121,1744787357.628956,2025-04-16 03:09:17.628
122,1744787357.894956,2025-04-16 03:09:17.894
123,1744787358.139956,2025-04-16 03:09:18.139
124,1744787358.353956,2025-04-16 03:09:18.353
125,1744787358.562956,2025-04-16 03:09:18.562
126,1744787358.778956,2025-04-16 03:09:18.778
127,1744787359.012956,2025-04-16 03:09:19.012
128,1744787359.295956,2025-04-16 03:09:19.295
129,1744787359.614956,2025-04-16 03:09:19.614
130,1744787359.985956,2025-04-16 03:09:19.985
131,1744787360.303956,2025-04-16 03:09:20.303
132,1744787360.625956,2025-04-16 03:09:20.625
133,1744787360.954956,2025-04-16 03:09:20.954
134,1744787361.218956,2025-04-16 03:09:21.218
135,1744787361.528956,2025-04-16 03:09:21.528
136,1744787361.792956,2025-04-16 03:09:21.792
137,1744787362.064956,2025-04-16 03:09:22.064
138,1744787362.281956,2025-04-16 03:09:22.281
139,1744787362.614956,2025-04-16 03:09:22.614
140,1744787362.909956,2025-04-16 03:09:22.909
141,1744787363.146956,2025-04-16 03:09:23.146
142,1744787363.485956,2025-04-16 03:09:23.485
143,1744787363.858956,2025-04-16 03:09:23.858
144,1744787364.089956,2025-04-16 03:09:24.089
145,1744787364.317956,2025-04-16 03:09:24.317
146,1744787364.688956,2025-04-16 03:09:24.688
147,1744787365.066956,2025-04-16 03:09:25.066
148,1744787365.435956,2025-04-16 03:09:25.435
149,1744787365.758956,2025-04-16 03:09:25.758
150,1744787366.034956,2025-04-16 03:09:26.034
151,1744787366.274956,2025-04-16 03:09:26.274
152,1744787366.579956,2025-04-16 03:09:26.579
153,1744787366.821956,2025-04-16 03:09:26.821
154,1744787367.096956,2025-04-16 03:09:27.096
155,1744787367.313956,2025-04-16 03:09:27.313
156,1744787367.543956,2025-04-16 03:09:27.543
157,1744787367.759956,2025-04-16 03:09:27.759
158,1744787367.963956,2025-04-16 03:09:27.963
159,1744787368.170956,2025-04-16 03:09:28.170
160,1744787368.451956,2025-04-16 03:09:28.451
161,1744787368.807956,2025-04-16 03:09:28.807
162,1744787369.055956,2025-04-16 03:09:29.055
163,1744787369.299956,2025-04-16 03:09:29.299
164,1744787369.533956,2025-04-16 03:09:29.533
165,1744787369.779956,2025-04-16 03:09:29.779
166,1744787370.034956,2025-04-16 03:09:30.034
167,1744787370.254956,2025-04-16 03:09:30.254
168,1744787370.476956,2025-04-16 03:09:30.476
169,1744787370.695956,2025-04-16 03:09:30.695
170,1744787370.936956,2025-04-16 03:09:30.936
171,1744787371.181956,2025-04-16 03:09:31.181
172,1744787371.438956,2025-04-16 03:09:31.438
173,1744787371.654956,2025-04-16 03:09:31.654
174,1744787371.886956,2025-04-16 03:09:31.886
175,1744787372.173956,2025-04-16 03:09:32.173
176,1744787372.517956,2025-04-16 03:09:32.517
177,1744787372.845956,2025-04-16 03:09:32.845
178,1744787373.136956,2025-04-16 03:09:33.136
179,1744787373.477956,2025-04-16 03:09:33.477
180,1744787373.819956,2025-04-16 03:09:33.819
181,1744787374.152956,2025-04-16 03:09:34.152
182,1744787374.380956,2025-04-16 03:09:34.380
183,1744787374.631956,2025-04-16 03:09:34.631
184,1744787374.911956,2025-04-16 03:09:34.911
185,1744787375.116956,2025-04-16 03:09:35.116
186,1744787375.387956,2025-04-16 03:09:35.387
187,1744787375.656956,2025-04-16 03:09:35.656
188,1744787375.967956,2025-04-16 03:09:35.967
189,1744787376.310956,2025-04-16 03:09:36.310
190,1744787376.554956,2025-04-16 03:09:36.554
191,1744787376.820956,2025-04-16 03:09:36.820
192,1744787377.129956,2025-04-16 03:09:37.129
193,1744787377.375956,2025-04-16 03:09:37.375
194,1744787377.600956,2025-04-16 03:09:37.600
195,1744787377.813956,2025-04-16 03:09:37.813
196,1744787378.127956,2025-04-16 03:09:38.127
197,1744787378.420956,2025-04-16 03:09:38.420
198,1744787378.815956,2025-04-16 03:09:38.815
199,1744787379.161956,2025-04-16 03:09:39.161
200,1744787379.462956,2025-04-16 03:09:39.462
201,1744787379.827956,2025-04-16 03:09:39.827
202,1744787380.096956,2025-04-16 03:09:40.096
203,1744787380.438956,2025-04-16 03:09:40.438
204,1744787380.670956,2025-04-16 03:09:40.670
205,1744787380.879956,2025-04-16 03:09:40.879
206,1744787381.100956,2025-04-16 03:09:41.100
207,1744787381.313956,2025-04-16 03:09:41.313
208,1744787381.525956,2025-04-16 03:09:41.525
209,1744787381.743956,2025-04-16 03:09:41.743
210,1744787382.019956,2025-04-16 03:09:42.019
211,1744787382.283956,2025-04-16 03:09:42.283
212,1744787382.508956,2025-04-16 03:09:42.508
213,1744787382.744956,2025-04-16 03:09:42.744
