Frame_Number,Timestamp_Unix,Timestamp_Human_Readable
110,1768440375.000000,2026-01-14 20:26:15.000
111,1768440375.000000,2026-01-14 20:26:15.000
112,1768440375.000000,2026-01-14 20:26:15.000
113,1768440375.000000,2026-01-14 20:26:15.000
114,1768440375.000000,2026-01-14 20:26:15.000
115,1768440375.000000,2026-01-14 20:26:15.000
116,1768440375.000000,2026-01-14 20:26:15.000
117,1768440376.000000,2026-01-14 20:26:16.000
118,1768440376.000000,2026-01-14 20:26:16.000
119,1768440376.000000,2026-01-14 20:26:16.000
120,1768440376.000000,2026-01-14 20:26:16.000
121,1768440376.000000,2026-01-14 20:26:16.000
122,1768440376.000000,2026-01-14 20:26:16.000
123,1768440377.000000,2026-01-14 20:26:17.000
124,1768440377.000000,2026-01-14 20:26:17.000
125,1768440377.000000,2026-01-14 20:26:17.000
126,1768440377.000000,2026-01-14 20:26:17.000
127,1768440377.000000,2026-01-14 20:26:17.000
128,1768440377.000000,2026-01-14 20:26:17.000
129,1768440378.000000,2026-01-14 20:26:18.000
130,1768440378.000000,2026-01-14 20:26:18.000
131,1768440378.000000,2026-01-14 20:26:18.000
132,1768440378.000000,2026-01-14 20:26:18.000
133,1768440378.000000,2026-01-14 20:26:18.000
134,1768440378.000000,2026-01-14 20:26:18.000
135,1768440378.000000,2026-01-14 20:26:18.000
136,1768440379.000000,2026-01-14 20:26:19.000
137,1768440379.000000,2026-01-14 20:26:19.000
138,1768440379.000000,2026-01-14 20:26:19.000
139,1768440379.000000,2026-01-14 20:26:19.000
140,1768440379.000000,2026-01-14 20:26:19.000
141,1768440379.000000,2026-01-14 20:26:19.000
142,1768440380.000000,2026-01-14 20:26:20.000
143,1768440380.000000,2026-01-14 20:26:20.000
144,1768440380.000000,2026-01-14 20:26:20.000
145,1768440380.000000,2026-01-14 20:26:20.000
146,1768440380.000000,2026-01-14 20:26:20.000
147,1768440380.000000,2026-01-14 20:26:20.000
148,1768440381.000000,2026-01-14 20:26:21.000
149,1768440381.000000,2026-01-14 20:26:21.000
150,1768440381.000000,2026-01-14 20:26:21.000
151,1768440381.000000,2026-01-14 20:26:21.000
152,1768440381.000000,2026-01-14 20:26:21.000
153,1768440381.000000,2026-01-14 20:26:21.000
154,1768440381.000000,2026-01-14 20:26:21.000
155,1768440381.000000,2026-01-14 20:26:21.000
156,1768440382.000000,2026-01-14 20:26:22.000
157,1768440382.000000,2026-01-14 20:26:22.000
158,1768440382.000000,2026-01-14 20:26:22.000
159,1768440382.000000,2026-01-14 20:26:22.000
160,1768440382.000000,2026-01-14 20:26:22.000
161,1768440382.000000,2026-01-14 20:26:22.000
162,1768440383.000000,2026-01-14 20:26:23.000
163,1768440383.000000,2026-01-14 20:26:23.000
164,1768440383.000000,2026-01-14 20:26:23.000
165,1768440383.000000,2026-01-14 20:26:23.000
166,1768440383.000000,2026-01-14 20:26:23.000
167,1768440384.000000,2026-01-14 20:26:24.000
168,1768440384.000000,2026-01-14 20:26:24.000
169,1768440384.000000,2026-01-14 20:26:24.000
170,1768440384.000000,2026-01-14 20:26:24.000
171,1768440384.000000,2026-01-14 20:26:24.000
172,1768440384.000000,2026-01-14 20:26:24.000
173,1768440385.000000,2026-01-14 20:26:25.000
174,1768440385.000000,2026-01-14 20:26:25.000
175,1768440385.000000,2026-01-14 20:26:25.000
176,1768440385.000000,2026-01-14 20:26:25.000
177,1768440385.000000,2026-01-14 20:26:25.000
178,1768440385.000000,2026-01-14 20:26:25.000
179,1768440386.000000,2026-01-14 20:26:26.000
180,1768440386.000000,2026-01-14 20:26:26.000
181,1768440386.000000,2026-01-14 20:26:26.000
182,1768440386.000000,2026-01-14 20:26:26.000
183,1768440386.000000,2026-01-14 20:26:26.000
184,1768440386.000000,2026-01-14 20:26:26.000
185,1768440386.000000,2026-01-14 20:26:26.000
186,1768440387.000000,2026-01-14 20:26:27.000
187,1768440387.000000,2026-01-14 20:26:27.000
188,1768440387.000000,2026-01-14 20:26:27.000
189,1768440387.000000,2026-01-14 20:26:27.000
190,1768440387.000000,2026-01-14 20:26:27.000
191,1768440387.000000,2026-01-14 20:26:27.000
192,1768440388.000000,2026-01-14 20:26:28.000
193,1768440388.000000,2026-01-14 20:26:28.000
194,1768440388.000000,2026-01-14 20:26:28.000
195,1768440388.000000,2026-01-14 20:26:28.000
196,1768440388.000000,2026-01-14 20:26:28.000
197,1768440388.000000,2026-01-14 20:26:28.000
198,1768440389.000000,2026-01-14 20:26:29.000
199,1768440389.000000,2026-01-14 20:26:29.000
200,1768440389.000000,2026-01-14 20:26:29.000
201,1768440389.000000,2026-01-14 20:26:29.000
202,1768440389.000000,2026-01-14 20:26:29.000
203,1768440389.000000,2026-01-14 20:26:29.000
204,1768440390.000000,2026-01-14 20:26:30.000
205,1768440390.000000,2026-01-14 20:26:30.000
206,1768440390.000000,2026-01-14 20:26:30.000
207,1768440390.000000,2026-01-14 20:26:30.000
208,1768440390.000000,2026-01-14 20:26:30.000
209,1768440390.000000,2026-01-14 20:26:30.000
210,1768440391.000000,2026-01-14 20:26:31.000
211,1768440391.000000,2026-01-14 20:26:31.000
212,1768440391.000000,2026-01-14 20:26:31.000
213,1768440391.000000,2026-01-14 20:26:31.000
214,1768440391.000000,2026-01-14 20:26:31.000
215,1768440391.000000,2026-01-14 20:26:31.000
216,1768440391.000000,2026-01-14 20:26:31.000
217,1768440392.000000,2026-01-14 20:26:32.000
218,1768440392.000000,2026-01-14 20:26:32.000
219,1768440392.000000,2026-01-14 20:26:32.000
220,1768440392.000000,2026-01-14 20:26:32.000
221,1768440392.000000,2026-01-14 20:26:32.000
222,1768440392.000000,2026-01-14 20:26:32.000
223,1768440393.000000,2026-01-14 20:26:33.000
224,1768440393.000000,2026-01-14 20:26:33.000
225,1768440393.000000,2026-01-14 20:26:33.000
226,1768440393.000000,2026-01-14 20:26:33.000
227,1768440393.000000,2026-01-14 20:26:33.000
228,1768440394.000000,2026-01-14 20:26:34.000
229,1768440394.000000,2026-01-14 20:26:34.000
230,1768440394.000000,2026-01-14 20:26:34.000
231,1768440394.000000,2026-01-14 20:26:34.000
232,1768440394.000000,2026-01-14 20:26:34.000
233,1768440394.000000,2026-01-14 20:26:34.000
234,1768440394.000000,2026-01-14 20:26:34.000
235,1768440395.000000,2026-01-14 20:26:35.000
236,1768440395.000000,2026-01-14 20:26:35.000
237,1768440395.000000,2026-01-14 20:26:35.000
238,1768440395.000000,2026-01-14 20:26:35.000
239,1768440395.000000,2026-01-14 20:26:35.000
240,1768440395.000000,2026-01-14 20:26:35.000
241,1768440395.000000,2026-01-14 20:26:35.000
242,1768440396.000000,2026-01-14 20:26:36.000
243,1768440396.000000,2026-01-14 20:26:36.000
244,1768440396.000000,2026-01-14 20:26:36.000
245,1768440396.000000,2026-01-14 20:26:36.000
246,1768440396.000000,2026-01-14 20:26:36.000
247,1768440396.000000,2026-01-14 20:26:36.000
248,1768440397.000000,2026-01-14 20:26:37.000
